10162939-01,6111600074,pkCIqbSg,27801423191,16
10162939-01,6851031685,EwBFtnbO,18382839735,16
10162939-01,5675068688,EGAsMOHN,76383728259,23
10162939-01,8082338979,KPvCbTUY,14432173885,83
10162939-01,1468159400,bsSLqIYf,68704497356,51
10162939-01,6150369942,gQlAcqcx,63939437379,55
10162939-01,4420284111,LyBLvinr,94880751309,88
10162939-01,0298081526,rdtUoCnB,75564530312,0
10162939-01,0539202759,nWVCcwzz,31597279522,64
10162939-01,3901612269,XMLMcyPG,36944135645,22
10162939-01,3725006854,mYEXfNzl,25069637478,11
10162939-01,3825868707,QlMPNbth,37167000652,29
10162939-01,4346643848,cCHHYrVO,05438552291,33
10162939-01,6383578578,RTTcXHhJ,97143711481,71
10162939-01,6432702041,KizuOdwG,95094074452,59
10162939-01,5668575243,DsnmyCOG,36885052333,83
10162939-01,7155670539,CJzBbNje,07312011698,45
10162939-01,5865552287,Wlhxknhy,55603616040,40
10162939-01,7501987784,fjNgWgmY,51502174019,12
10162939-01,4860253898,emoWbQXZ,91751013803,23
10162939-01,9724574802,AXMInpri,56983516800,97
10162939-01,3388025521,ohcdhstm,42981018203,70
10162939-01,3331275440,pMeryUSW,34343543161,81
10162939-01,0236929616,elDYMvrg,86142933004,43
10162939-01,2798475717,YvaqRega,94453111291,83
10162939-01,7669119045,CBBzmtUg,17614977370,26
10162939-01,9910527645,MKKQkjQD,82350607132,47
10162939-01,8972603381,HJsGXglz,03485655555,48
10162939-01,5532190305,hSaxWRbf,50602810825,82
10162939-01,2514060814,VGJTMsyw,16385497699,98
10162939-01,5929520222,IzEIMLQl,52297125963,56
10162939-01,6582836972,vaHfawTZ,41416450067,100
10162939-01,0284810298,NXBDlLlM,39625824081,59
10162939-01,8584436248,MaPlbkNa,65516327448,88
10162939-01,2558814301,QkGFuGdp,77432992795,78
10162939-01,0178511218,zTXOtEEM,10541030943,21
10162939-01,0922260248,GHzyHnid,39431569883,37
10162939-01,8497622746,iEMnSFeP,96817647715,75
10162939-01,2726956971,xCVxnKeq,86524212866,51
10162939-01,0693329310,xiNjebxk,78448475759,42
10162939-01,2576182149,FLKErjNA,64023727403,32
10162939-01,8331451673,VmssgEOT,05553699279,93
10162939-01,0221383329,mbkfVtHF,07437483500,13
10162939-01,1187898544,jyYSqEAV,75941982424,47
10162939-02,7079156536,KudlFUZC,82552043725,88
10162939-02,4305152765,mPrICXeT,06940938776,11
10162939-02,9901503649,NaxwmbPl,40439743055,4
10162939-02,6371642051,KbJHAULI,49702746981,0
10162939-02,5536377332,fAsCbagl,77319339362,66
10162939-02,1028790078,mKclywHv,03233234008,78
10162939-02,8048452719,WPrCdilY,34172513659,81
10162939-02,7724943541,QqeNhxUy,91453484340,26
10162939-02,6580941010,xAZazrWK,18128883047,80
10162939-02,5746619900,zVOAchcO,71246154286,17
10162939-02,3801240724,IyQpvHfd,74347304032,99
10162939-03,6514511753,IHqYGtqa,01201413674,25
10162939-03,0510643615,PTMcrcKL,63651869074,52
10180218-01,5694802456,PwmEWaCp,94686697361,15
10180218-01,9791244349,XuKERqyH,33504994632,71
10180218-01,3109333931,BbfknjFk,09349585207,21
10180218-01,1952591283,TVCGxezJ,50482402222,77
10180218-01,0659930762,ugMfVkLX,20836647847,75
10180218-01,1198474598,zTrJMLph,36018466443,92
10180218-01,8795741645,gzanjOLq,96227343762,72
10180218-01,9815157877,PJjMXWGd,47259299180,92
10180218-01,7134630978,lKoiMhcH,32976884603,58
10180218-01,5539160079,yNuoBoYK,19153313222,31
10180218-01,0450563424,AQkHSRJT,50614621838,5
10180218-01,6129428048,CJVbcxch,85858209224,91
10180218-01,0791129212,MtDLSMqA,25065685767,62
10180218-01,6128940215,DUQWlZhR,48429317170,82
10180218-01,8546478295,CNsPGCKz,62538683520,37
10180218-01,2085644595,acADWJCh,87911775819,46
10180218-01,4969090280,oneTMtEj,88455228054,47
10180218-01,9170049159,MhVsMlNV,09628854608,54
10180218-01,8503572124,PuxUTKHP,59139487200,81
10180218-01,9519508122,mZdvXsKo,65762380336,9
10180218-01,9524007474,aeqQuNZW,45168301536,2
10180218-01,7435731635,LKJHLjAS,52268668972,15
10180218-01,9801064013,oDhiBeID,39125404929,74
10180218-01,0422581744,mKrWPcMA,81454706980,25
10180218-02,3908547041,rpXqIABQ,97349370893,46
10180218-02,6725420886,GuQcryKL,92000656134,71
10180218-02,2922548529,gyVSaiGo,04140977963,73
10180218-02,7081774641,jidNXoHC,84683497302,2
